week,month,service,available_beds,patients_request,patients_admitted,patients_refused,patient_satisfaction,staff_morale,event
20,5,emergency,21,45,21,24,93,81,none
20,5,surgery,31,39,31,8,99,94,none
20,5,general_medicine,40,70,40,30,64,71,none
20,5,ICU,10,14,10,4,85,65,none
21,6,emergency,18,95,18,77,88,63,none
21,6,surgery,30,44,30,14,64,67,donation
21,6,general_medicine,45,70,45,25,95,82,none
21,6,ICU,12,9,9,0,69,54,none
22,6,emergency,16,129,16,113,69,68,none
22,6,surgery,18,21,18,3,63,65,none
22,6,general_medicine,46,36,36,0,87,88,donation
22,6,ICU,9,6,6,0,92,82,none
23,6,emergency,22,54,22,32,62,50,none
23,6,surgery,26,43,26,17,72,61,none
23,6,general_medicine,27,81,27,54,94,77,donation
23,6,ICU,17,12,12,0,85,83,none
24,6,emergency,18,105,18,87,70,78,none
24,6,surgery,39,21,21,0,95,39,strike
24,6,general_medicine,47,66,47,19,94,97,none
24,6,ICU,9,9,9,0,91,73,none
25,7,emergency,15,48,15,33,72,72,none
25,7,surgery,22,39,22,17,76,98,none
25,7,general_medicine,36,51,36,15,81,62,none
25,7,ICU,8,6,6,0,71,90,none
26,7,emergency,18,96,18,78,87,63,none
26,7,surgery,31,30,30,0,75,54,none
26,7,general_medicine,43,72,43,29,80,85,none
26,7,ICU,14,8,8,0,98,63,none
27,7,emergency,15,67,15,52,82,78,none
27,7,surgery,29,24,24,0,68,59,none
27,7,general_medicine,36,61,36,25,66,95,none
27,7,ICU,15,10,10,0,86,51,none
28,7,emergency,15,69,15,54,78,66,donation
28,7,surgery,31,28,28,0,66,74,none
28,7,general_medicine,26,36,26,10,90,68,none
28,7,ICU,12,8,8,0,86,59,none
29,8,emergency,16,92,16,76,72,99,none
29,8,surgery,36,31,31,0,87,57,none
29,8,general_medicine,30,62,30,32,60,52,none
29,8,ICU,14,15,14,1,84,82,none
30,8,emergency,16,85,16,69,91,94,none
30,8,surgery,32,15,15,0,70,66,strike
30,8,general_medicine,38,47,38,9,77,96,none
30,8,ICU,8,7,7,0,62,65,none
31,8,emergency,20,48,20,28,69,81,none
31,8,surgery,20,24,20,4,83,86,donation
31,8,general_medicine,45,60,45,15,85,57,none
31,8,ICU,8,12,8,4,87,86,none
32,8,emergency,20,89,20,69,76,58,none
32,8,surgery,31,25,25,0,87,97,none
32,8,general_medicine,34,59,34,25,65,67,none
32,8,ICU,11,15,11,4,84,51,none
33,9,emergency,28,54,28,26,92,56,donation
33,9,surgery,36,30,30,0,80,75,none
33,9,general_medicine,51,98,51,47,86,98,none
33,9,ICU,11,13,11,2,94,50,none
34,9,emergency,21,31,21,10,64,60,strike
34,9,surgery,22,42,22,20,96,86,none
34,9,general_medicine,48,56,48,8,80,63,none
34,9,ICU,10,7,7,0,72,53,none
35,9,emergency,15,81,15,66,93,77,none
35,9,surgery,26,45,26,19,93,52,none
35,9,general_medicine,41,40,40,0,64,79,none
35,9,ICU,18,5,5,0,82,64,none
36,9,emergency,28,115,28,87,70,88,none
36,9,surgery,47,53,47,6,97,99,none
36,9,general_medicine,59,54,54,0,86,83,none
36,9,ICU,15,5,5,0,83,64,none
37,10,emergency,23,110,23,87,76,54,none
37,10,surgery,31,39,31,8,69,66,none
37,10,general_medicine,58,48,48,0,93,55,none
37,10,ICU,13,20,13,7,82,65,none
38,10,emergency,22,71,22,49,67,53,none
38,10,surgery,47,48,47,1,62,81,none
38,10,general_medicine,63,78,63,15,78,70,none
38,10,ICU,20,18,18,0,81,70,none
39,10,emergency,20,67,20,47,85,95,none
39,10,surgery,36,49,36,13,86,58,none
39,10,general_medicine,48,59,48,11,89,72,strike
39,10,ICU,11,15,11,4,95,50,none
40,10,emergency,18,57,18,39,81,43,strike
40,10,surgery,46,36,36,0,83,51,none
40,10,general_medicine,47,107,47,60,66,52,none
40,10,ICU,12,15,12,3,97,84,none
41,11,emergency,27,92,27,65,69,88,none
41,11,surgery,31,49,31,18,85,93,none
41,11,general_medicine,50,70,50,20,84,53,none
41,11,ICU,21,20,20,0,77,96,none
42,11,emergency,24,99,24,75,67,89,none
42,11,surgery,45,67,45,22,65,75,none
42,11,general_medicine,67,114,67,47,65,86,none
42,11,ICU,16,12,12,0,80,55,none
43,11,emergency,21,171,21,150,70,79,none
43,11,surgery,50,33,33,0,62,89,donation
43,11,general_medicine,42,49,42,7,79,77,none
43,11,ICU,18,12,12,0,89,87,none
44,11,emergency,27,138,27,111,74,60,none
44,11,surgery,45,28,28,0,65,75,none
44,11,general_medicine,57,70,57,13,92,69,none
44,11,ICU,12,16,12,4,73,87,none
45,12,emergency,32,193,32,161,72,92,none
45,12,surgery,32,37,32,5,64,72,none
45,12,general_medicine,40,67,40,27,99,51,none
45,12,ICU,18,42,18,24,70,54,flu
46,12,emergency,36,187,36,151,64,93,none
46,12,surgery,52,39,39,0,68,83,none
46,12,general_medicine,41,29,29,0,81,58,strike
46,12,ICU,23,28,23,5,89,75,flu
47,12,emergency,22,91,22,69,63,54,strike
47,12,surgery,57,48,48,0,99,57,none
47,12,general_medicine,55,92,55,37,97,82,none
47,12,ICU,13,16,13,3,76,82,none
48,12,emergency,20,165,20,145,99,89,none
48,12,surgery,49,32,32,0,65,52,none
48,12,general_medicine,48,105,48,57,74,96,none
48,12,ICU,16,23,16,7,98,76,none
49,12,emergency,26,137,26,111,92,86,none
49,12,surgery,26,29,26,3,81,51,none
49,12,general_medicine,72,63,63,0,92,87,none
49,12,ICU,16,22,16,6,83,64,none
50,12,emergency,24,101,24,77,63,61,none
50,12,surgery,59,65,59,6,95,85,none
50,12,general_medicine,72,57,57,0,79,60,none
50,12,ICU,22,13,13,0,65,57,none
51,12,emergency,31,123,31,92,71,75,none
51,12,surgery,63,48,48,0,84,82,none
51,12,general_medicine,74,285,74,211,95,89,flu
51,12,ICU,18,15,15,0,87,80,none
52,12,emergency,26,130,26,104,88,63,none
52,12,surgery,53,39,39,0,82,50,none
52,12,general_medicine,65,225,65,160,82,40,flu
52,12,ICU,22,24,22,2,80,96,none
